file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,120,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,10
style.css,121,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,16
style.css,122,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,123,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,124,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,8
style.css,125,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,21
style.css,126,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,26
style.css,127,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,31
style.css,128,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,19
style.css,129,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,11
style.css,130,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,11
style.css,131,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,20
style.css,132,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,2,9
style.css,133,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,134,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,0
style.css,135,css,aff9b122,Sahra,2025-10-28,11:52:06,-07:00,2025-10-28T11:52:06-07:00,1,24
style.css,136,css,92f4087a,Sahra,2025-10-27,17:04:12,-07:00,2025-10-27T17:04:12-07:00,1,35
